model,protein_name,run_idx,valid_num,unique_raw_num,novelty_gxvaes_percent,max_tanimoto_gxvaes
Tx2Mol-original-replay-20260925,AKT1,1,95,90,77.77777777777777,1.0
Tx2Mol-original-replay-20260925,AKT2,1,98,95,75.78947368421052,1.0
Tx2Mol-original-replay-20260925,AURKB,1,94,92,84.78260869565217,1.0
Tx2Mol-original-replay-20260925,CTSK,3,99,97,89.69072164948453,0.4807692307692308
Tx2Mol-original-replay-20260925,EGFR,3,100,99,80.8080808080808,1.0
Tx2Mol-original-replay-20260925,HDAC1,3,96,90,77.77777777777777,0.84375
Tx2Mol-original-replay-20260925,MTOR,1,99,96,80.20833333333333,0.8805970149253731
Tx2Mol-original-replay-20260925,PIK3CA,8,96,95,82.10526315789474,1.0
Tx2Mol-original-replay-20260925,SMAD3,4,100,98,81.63265306122449,1.0
Tx2Mol-original-replay-20260925,TP53,2,99,96,78.125,1.0
